year,island,island_olelo,county,county_olelo,species_group,ecosystem_type,exchange_value,exchange_value_formatted,area_id
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Reef-Associated,All Ecosystems,12822.238000000005,"$12,822",105
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Reef-Associated,Inshore — Reef,12822.238,"$12,822",105
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Reef-Associated,Coastal — Open Ocean,0.0,$0,105
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Pelagics,All Ecosystems,23317.963999999985,"$23,318",105
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Pelagics,Inshore — Reef,0.0,$0,105
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Pelagics,Coastal — Open Ocean,23317.964,"$23,318",105
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,All Species,All Ecosystems,47734.686,"$47,735",105
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,All Species,Coastal — Open Ocean,34386.208,"$34,386",105
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,All Species,Inshore — Reef,13348.478,"$13,348",105
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Deep 7 Bottomfish,All Ecosystems,11222.130099999997,"$11,222",106
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Deep 7 Bottomfish,Inshore — Reef,0.0,$0,106
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Deep 7 Bottomfish,Coastal — Open Ocean,11222.1301,"$11,222",106
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Shallow Bottomfish,All Ecosystems,1724.08,"$1,724",106
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Shallow Bottomfish,Inshore — Reef,912.9344,$913,106
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Shallow Bottomfish,Coastal — Open Ocean,811.1456,$811,106
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Reef-Associated,All Ecosystems,15225.782000000005,"$15,226",106
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Reef-Associated,Inshore — Reef,15225.782,"$15,226",106
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Reef-Associated,Coastal — Open Ocean,0.0,$0,106
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Pelagics,All Ecosystems,24945.67299999998,"$24,946",106
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Pelagics,Inshore — Reef,0.0,$0,106
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Pelagics,Coastal — Open Ocean,24945.673,"$24,946",106
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,All Species,All Ecosystems,53117.6651,"$53,118",106
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,All Species,Coastal — Open Ocean,36978.9487,"$36,979",106
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,All Species,Inshore — Reef,16138.7164,"$16,139",106
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Deep 7 Bottomfish,All Ecosystems,2698.290999999999,"$2,698",107
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Deep 7 Bottomfish,Inshore — Reef,0.0,$0,107
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Deep 7 Bottomfish,Coastal — Open Ocean,2698.291,"$2,698",107
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Shallow Bottomfish,All Ecosystems,192.464,$192,107
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Shallow Bottomfish,Inshore — Reef,102.9664,$103,107
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Shallow Bottomfish,Coastal — Open Ocean,89.4976,$89,107
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Reef-Associated,All Ecosystems,1592.7340000000004,"$1,593",107
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Reef-Associated,Inshore — Reef,1592.734,"$1,593",107
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Reef-Associated,Coastal — Open Ocean,0.0,$0,107
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Pelagics,All Ecosystems,11280.147999999994,"$11,280",107
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Pelagics,Inshore — Reef,0.0,$0,107
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Pelagics,Coastal — Open Ocean,11280.148,"$11,280",107
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,All Species,All Ecosystems,15763.637,"$15,764",107
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,All Species,Coastal — Open Ocean,14067.9366,"$14,068",107
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,All Species,Inshore — Reef,1695.7004,"$1,696",107
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Reef-Associated,All Ecosystems,0.0,$0,108
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Reef-Associated,Inshore — Reef,0.0,$0,108
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Reef-Associated,Coastal — Open Ocean,0.0,$0,108
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Pelagics,All Ecosystems,3546.197299999998,"$3,546",108
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Pelagics,Inshore — Reef,0.0,$0,108
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Pelagics,Coastal — Open Ocean,3546.1973,"$3,546",108
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,All Species,All Ecosystems,3546.1973,"$3,546",108
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,All Species,Coastal — Open Ocean,3546.1973,"$3,546",108
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,All Species,Inshore — Reef,0.0,$0,108
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Deep 7 Bottomfish,All Ecosystems,6254.044999999996,"$6,254",120
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Deep 7 Bottomfish,Inshore — Reef,0.0,$0,120
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Deep 7 Bottomfish,Coastal — Open Ocean,6254.045,"$6,254",120
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Shallow Bottomfish,All Ecosystems,4329.5199999999995,"$4,330",120
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Shallow Bottomfish,Inshore — Reef,1574.672,"$1,575",120
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Shallow Bottomfish,Coastal — Open Ocean,2754.8479999999995,"$2,755",120
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Reef-Associated,All Ecosystems,0.0,$0,120
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Reef-Associated,Inshore — Reef,0.0,$0,120
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Reef-Associated,Coastal — Open Ocean,0.0,$0,120
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Pelagics,All Ecosystems,36193.581999999966,"$36,194",120
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Pelagics,Inshore — Reef,0.0,$0,120
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Pelagics,Coastal — Open Ocean,36193.582,"$36,194",120
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,All Species,All Ecosystems,46777.147,"$46,777",120
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,All Species,Coastal — Open Ocean,45202.475,"$45,202",120
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,All Species,Inshore — Reef,1574.672,"$1,575",120
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Deep 7 Bottomfish,All Ecosystems,38420.40289999997,"$38,420",121
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Deep 7 Bottomfish,Inshore — Reef,0.0,$0,121
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Deep 7 Bottomfish,Coastal — Open Ocean,38420.4029,"$38,420",121
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Shallow Bottomfish,All Ecosystems,3946.1007999999993,"$3,946",121
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Shallow Bottomfish,Inshore — Reef,1723.20416,"$1,723",121
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Shallow Bottomfish,Coastal — Open Ocean,2222.896639999999,"$2,223",121
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Reef-Associated,All Ecosystems,34453.848,"$34,454",121
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Reef-Associated,Inshore — Reef,34453.848,"$34,454",121
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Reef-Associated,Coastal — Open Ocean,0.0,$0,121
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Pelagics,All Ecosystems,521251.27599999984,"$521,251",121
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Pelagics,Inshore — Reef,0.0,$0,121
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Pelagics,Coastal — Open Ocean,521251.276,"$521,251",121
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,All Species,All Ecosystems,598071.6277,"$598,072",121
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,All Species,Coastal — Open Ocean,561894.5755,"$561,895",121
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,All Species,Inshore — Reef,36177.05216,"$36,177",121
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Deep 7 Bottomfish,All Ecosystems,41071.22649999998,"$41,071",122
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Deep 7 Bottomfish,Inshore — Reef,0.0,$0,122
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Deep 7 Bottomfish,Coastal — Open Ocean,41071.2265,"$41,071",122
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Shallow Bottomfish,All Ecosystems,16139.376,"$16,139",122
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Shallow Bottomfish,Inshore — Reef,4423.5072,"$4,424",122
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Shallow Bottomfish,Coastal — Open Ocean,11715.8688,"$11,716",122
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Reef-Associated,All Ecosystems,7075.096600000001,"$7,075",122
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Reef-Associated,Inshore — Reef,7075.0966,"$7,075",122
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Reef-Associated,Coastal — Open Ocean,0.0,$0,122
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Pelagics,All Ecosystems,101952.15009999993,"$101,952",122
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Pelagics,Inshore — Reef,0.0,$0,122
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Pelagics,Coastal — Open Ocean,101952.1501,"$101,952",122
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,All Species,All Ecosystems,166237.8492,"$166,238",122
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,All Species,Coastal — Open Ocean,154739.2454,"$154,739",122
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,All Species,Inshore — Reef,11498.6038,"$11,499",122
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Reef-Associated,All Ecosystems,0.0,$0,123
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Reef-Associated,Inshore — Reef,0.0,$0,123
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Reef-Associated,Coastal — Open Ocean,0.0,$0,123
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Pelagics,All Ecosystems,2855.6749999999975,"$2,856",123
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Pelagics,Inshore — Reef,0.0,$0,123
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Pelagics,Coastal — Open Ocean,2855.675,"$2,856",123
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,All Species,All Ecosystems,2855.675,"$2,856",123
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,All Species,Coastal — Open Ocean,2855.675,"$2,856",123
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,All Species,Inshore — Reef,0.0,$0,123
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Deep 7 Bottomfish,All Ecosystems,2631.4299999999985,"$2,631",124
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Deep 7 Bottomfish,Inshore — Reef,0.0,$0,124
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Deep 7 Bottomfish,Coastal — Open Ocean,2631.43,"$2,631",124
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Reef-Associated,All Ecosystems,0.0,$0,124
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Reef-Associated,Inshore — Reef,0.0,$0,124
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Reef-Associated,Coastal — Open Ocean,0.0,$0,124
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Pelagics,All Ecosystems,33801.09799999997,"$33,801",124
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Pelagics,Inshore — Reef,0.0,$0,124
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Pelagics,Coastal — Open Ocean,33801.098,"$33,801",124
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,All Species,All Ecosystems,36432.528,"$36,433",124
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,All Species,Coastal — Open Ocean,36432.528,"$36,433",124
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,All Species,Inshore — Reef,0.0,$0,124
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Deep 7 Bottomfish,All Ecosystems,14299.612899999993,"$14,300",125
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Deep 7 Bottomfish,Inshore — Reef,0.0,$0,125
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Deep 7 Bottomfish,Coastal — Open Ocean,14299.6129,"$14,300",125
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Shallow Bottomfish,All Ecosystems,1445.8719999999998,"$1,446",125
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Shallow Bottomfish,Inshore — Reef,588.3583999999998,$588,125
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Shallow Bottomfish,Coastal — Open Ocean,857.5136,$858,125
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Reef-Associated,All Ecosystems,273.98800000000006,$274,125
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Reef-Associated,Inshore — Reef,273.988,$274,125
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Reef-Associated,Coastal — Open Ocean,0.0,$0,125
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Pelagics,All Ecosystems,239532.85509999993,"$239,533",125
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Pelagics,Inshore — Reef,0.0,$0,125
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Pelagics,Coastal — Open Ocean,239532.8551,"$239,533",125
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,All Species,All Ecosystems,255552.328,"$255,552",125
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,All Species,Coastal — Open Ocean,254689.9816,"$254,690",125
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,All Species,Inshore — Reef,862.3464,$862,125
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Deep 7 Bottomfish,All Ecosystems,11939.184999999994,"$11,939",126
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Deep 7 Bottomfish,Inshore — Reef,0.0,$0,126
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Deep 7 Bottomfish,Coastal — Open Ocean,11939.185,"$11,939",126
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Shallow Bottomfish,All Ecosystems,3888.656,"$3,889",126
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Shallow Bottomfish,Inshore — Reef,2743.072,"$2,743",126
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Shallow Bottomfish,Coastal — Open Ocean,1145.5839999999998,"$1,146",126
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Reef-Associated,All Ecosystems,229.94400000000005,$230,126
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Reef-Associated,Inshore — Reef,229.944,$230,126
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Reef-Associated,Coastal — Open Ocean,0.0,$0,126
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Pelagics,All Ecosystems,115196.58019999992,"$115,197",126
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Pelagics,Inshore — Reef,0.0,$0,126
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Pelagics,Coastal — Open Ocean,115196.5802,"$115,197",126
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,All Species,All Ecosystems,131254.3652,"$131,254",126
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,All Species,Coastal — Open Ocean,128281.3492,"$128,281",126
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,All Species,Inshore — Reef,2973.016,"$2,973",126
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Reef-Associated,All Ecosystems,0.0,$0,127
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Reef-Associated,Inshore — Reef,0.0,$0,127
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Reef-Associated,Coastal — Open Ocean,0.0,$0,127
